date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-05-07,790638,167,161124733,964818.760479042,2.58516798,24903613050.38768185670539407,9633266886.035024052846463388,521974519553.627,0.000871512936944123,1.330162108288279554685673431,0.0004931,0.752602638231409095,277.50366332955,423544.8978720342018721878975,2087.5,4.66968647463405,3186083.973449739375,2087.5,3186083.973449739375,38.08635507,49.72927936879661,1,1526.26777171245,230.81794616473644,28.071451863395076,16316673.59551607,318416,712669,428412.57890827,653872312.1839094082093669615,2.00639809495752,3062.300749558918712840405124,0.03184269,48.6004715116303144905,1429897.72393528,2182406812.887403787278570236,0.03340173171595503,0.01729109133285182,0.037983774982519786
2017-05-08,887445,180,174202372,967790.955555556,2.82026827,27498797785.21458199342785096,9750419174.45363236264722918,521974519553.626,0.000867800035518908,1.46231812135714056675924961,0.0005,0.84254324815897,316.150834339482,532741.5017451111941049669071,2250,5.03250104208259,3791444.616715365,2250,3791444.616715365,28.31768645,54.25612581711893,1,1685.08649631794,265.2283616562246,42.27130068905662,16318923.59549604,364313,833249,576280.25588815,971082077.291768595979478411,2.37836409568098,4007.749220959448402626890781,0.03597742,60.6250646143589809148,1981769.50436208,3339453030.615237898688559715,0.03413398770491121,0.023729076331949477,0.039705667573502884
2017-05-09,805373,155,153104296,987769.651612903,2.8500152,28059281600.75279079710963632,9845309473.063455795767946525,521974519553.627,0.000917645691917118,1.57764218006593452822961644,0.00052938,0.9101249258180328216,306.155049839621,526350.3381769262229793698177,1937.5,4.3330281157532,3331004.2762711825,1937.5,3331004.2762711825,29.84410805,54.75506146601953,1,1719.22801355932,270.95320741390674,41.65949664540679,16320861.095476,333631,764682,546870.45999265,940195014.607435239787538998,2.54627369754808,4377.625071013930354877632106,0.04444444,76.4101262949563841808,1947089.66358846,3347491094.553072726168277447,0.03413187941136648,0.023663021687923808,0.037998408438192605
2017-05-10,730268,148,142171666,960619.364864865,2.92992045,29095216204.95681780913,9930377521.554985731735717967,556376641358.94,0.000968268705773202,1.725937999772026791798,0.00054265,0.96727308235,300.567066839721,535760.496074735842779,1850,4.13687405266623,3297623.15,1850,3297623.15,31.08931853,56.279579686429635,1,1782.499,295.1627894532222,47.113372847572585,16322711.09546587,310417,723442,525026.33918593,935858924.57258103907,2.7451661283375,4893.2558785954654125,0.042996865,76.641868865635,1985968.47421674,3539986819.32286483326,0.03421100824399552,0.02393746297478857,0.037331725867744546
2017-05-11,703146,135,129768934,961251.362962963,2.98180004,29963230354.11552603173746728,10048705477.14418475868286146,559970892890.838,0.000948110397346517,1.740244828665002357261395726,0.00054221,0.9952197035189672982,280.558192009522,514961.0679838696905387662732,1687.5,3.77310990293436,3097385.23761689625,1687.5,3097385.23761689625,30.73178388,57.35816790133263,1,1835.48754821742,304.3847739993583,49.252726969262106,16324398.59546586,295913,688964,531189.42450294,974991574.4199236640665492148,2.53713231740531,4656.8747767774534825301425,0.04,73.4195019286968,1747992.82992883,3208419073.707697792291966219,0.03421925247662453,0.024123228591592077,0.03710373841402347
2017-05-12,742648,154,146229368,949541.350649351,2.75847679,27830857573.16525953329044229,10089212169.47583046558522354,559970892890.839,0.00101759915078623,1.734662238348073806053894908,0.00059813,1.0196092673834151604,320.073601689626,545617.1911248902390713986321,1925,4.30363269410598,3281473.659092629,1925,3281473.659092629,29.74074886,52.52128433956667,1,1704.66164108708,274.151556826993,40.17280661634667,16326323.59546569,314538,736630,548954.69090294,935782004.2770564466083680152,2.2429401614837,3823.454056534924266013700596,0.03894534,66.3886271970943002072,1652217.01115374,2816470961.665324789018607679,0.03472340228401432,0.028625432886014816,0.03853510449792807
2017-05-13,793427,158,151668182,959925.202531646,2.86505128,29061763163.49681090104930518,10143540323.31562781784109372,559970892890.839,0.000914544004155913,1.627742235112980563269578237,0.0005217,0.928542661916211183,301.920241179357,537369.7995611742924890952504,1975,4.41488129204222,3515184.50696668025,1975,3515184.50696668025,37.90397718,54.22372993812119,1,1779.84025669199,289.25571917772726,51.79118995230916,16328298.59546552,330132,753402,430780.6148435,766720680.100988317601553565,1.74428686164499,3104.55197557468464810715663,0.040885655,72.76993469022014440345,1314149.21013706,2338975667.501920777410104149,0.03483978203820268,0.02772473990657888,0.03884366792157323
2017-05-14,894445,164,159925462,975155.256097561,2.87984317,29306338267.74100910631429846,10176366055.9569130635636229,559970892890.839,0.00080440298247181,1.443576404391301950783323066,0.000486,0.87217246556984178,297.196334708987,533346.625517401518154320852,2050,4.58195975196616,3678916.7786382215,2050,3678916.7786382215,41.1644887,54.30653705716831,1,1794.59355055523,291.73042257581983,52.81808427866848,16330348.59546548,369462,833647,396709.61818391,711932522.2360726810847523493,1.35746848994096,2436.104197129993926477919221,0.033,59.22158716832259,1131649.53423381,2030850955.624825388818138326,0.034839066418062885,0.02764798825736178,0.038841788800799734
2017-05-15,824667,170,165019910,970705.352941177,2.77569902,28367593222.56364197809611159,10219981714.23078867476910103,559970892890.839,0.000999006067525015,1.735156501847383537328676201,0.00058349,1.0134537718786960962,328.676992239616,570873.4297331295494072636621,2125,4.74897446162316,3690876.0479909325,2125,3690876.0479909325,27.35709098,51.87282654890853,1,1736.88284611338,276.8804922557167,47.74912483130667,16332473.59546544,329004,794585,597010.6108872,1036937488.997647584033590736,2.36177848449618,4102.132536041070439100456888,0.033,57.31713392174154,1876633.7571034,3259492981.150198843656783492,0.03484904629644966,0.028858150286736703,0.038019310826511506
2017-05-16,653146,132,128566504,973988.666666667,2.7951762,28699495338.47457553440816772,10267508491.77086705362037106,559970892890.838,0.00153727992330399,2.701042252737796977552283679,0.00061761,1.0851574137051380649,355.176228039867,624054.204156811600723084044,1650,3.68706650516098,2899094.4651373485,1650,2899094.4651373485,35.31265539,52.013868200506295,1,1757.02694856809,285.9696874778054,49.70093319809294,16334123.59546538,231042,534839,462557.21684415,812725495.2498251954711931735,3.26025393952419,5728.354030919281788376417097,0.04289449,75.3667748750844508241,1743710.95676118,3063747141.542840817705098746,0.03483721865924023,0.028728311193130553,0.03564908352620608
